MemTotal:       31626580 kB
MemFree:         2578240 kB
MemAvailable:   18331948 kB
Buffers:         1268292 kB
Cached:         15756052 kB
SwapCached:            0 kB
Active:         10982164 kB
Inactive:       11367996 kB
Active(anon):    8365372 kB
Inactive(anon):        0 kB
Active(file):    2616792 kB
Inactive(file): 11367996 kB
Unevictable:     3296740 kB
Mlocked:             560 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2552 kB
Writeback:             0 kB
AnonPages:       8623584 kB
Mapped:          1508372 kB
Shmem:           3818624 kB
KReclaimable:    2233976 kB
Slab:            2833316 kB
SReclaimable:    2233976 kB
SUnreclaim:       599340 kB
KernelStack:       37128 kB
PageTables:       186644 kB
SecPageTables:      9408 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    15813288 kB
Committed_AS:   62208512 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       92636 kB
VmallocChunk:          0 kB
Percpu:            30528 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  2990080 kB
ShmemPmdMapped:        0 kB
FileHugePages:    950272 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      387152 kB
DirectMap2M:    10432512 kB
DirectMap1G:    24117248 kB
