Installed Packages
acl.x86_64                                    2.2.53-1.el8                            @System         
audit-libs.x86_64                             3.0-0.17.20191104git1c2f876.el8         @System         
basesystem.noarch                             11-5.el8                                @System         
bash.x86_64                                   4.4.20-2.el8                            @System         
binutils.x86_64                               2.30-108.el8_5.1                        @ubi-8-baseos   
brotli.x86_64                                 1.0.6-3.el8                             @System         
bzip2-libs.x86_64                             1.0.6-26.el8                            @System         
ca-certificates.noarch                        2021.2.50-80.0.el8_4                    @System         
chkconfig.x86_64                              1.19.1-1.el8                            @System         
cmake.x86_64                                  3.20.2-4.el8                            @ubi-8-appstream
cmake-data.noarch                             3.20.2-4.el8                            @ubi-8-appstream
cmake-filesystem.x86_64                       3.20.2-4.el8                            @ubi-8-appstream
cmake-rpm-macros.noarch                       3.20.2-4.el8                            @ubi-8-appstream
coreutils-single.x86_64                       8.30-12.el8                             @System         
cpp.x86_64                                    8.5.0-4.el8_5                           @ubi-8-appstream
cracklib.x86_64                               2.9.6-15.el8                            @System         
cracklib-dicts.x86_64                         2.9.6-15.el8                            @System         
crypto-policies.noarch                        20210617-1.gitc776d3e.el8               @System         
crypto-policies-scripts.noarch                20210617-1.gitc776d3e.el8               @System         
cryptsetup-libs.x86_64                        2.3.3-4.el8_5.1                         @ubi-8-baseos   
curl.x86_64                                   7.61.1-22.el8                           @System         
cyrus-sasl-lib.x86_64                         2.1.27-6.el8_5                          @ubi-8-baseos   
dbus.x86_64                                   1:1.12.8-14.el8                         @System         
dbus-common.noarch                            1:1.12.8-14.el8                         @System         
dbus-daemon.x86_64                            1:1.12.8-14.el8                         @System         
dbus-glib.x86_64                              0.110-2.el8                             @System         
dbus-libs.x86_64                              1:1.12.8-14.el8                         @System         
dbus-tools.x86_64                             1:1.12.8-14.el8                         @System         
device-mapper.x86_64                          8:1.02.177-10.el8                       @System         
device-mapper-libs.x86_64                     8:1.02.177-10.el8                       @System         
diffutils.x86_64                              3.6-6.el8                               @ubi-8-baseos   
dmidecode.x86_64                              1:3.2-10.el8                            @System         
dnf.noarch                                    4.7.0-4.el8                             @System         
dnf-data.noarch                               4.7.0-4.el8                             @System         
dnf-plugin-subscription-manager.x86_64        1.28.21-3.el8                           @System         
dnf-plugins-core.noarch                       4.0.21-4.el8_5                          @ubi-8-baseos   
dos2unix.x86_64                               7.4.0-3.el8                             @ubi-8-baseos   
elfutils-default-yama-scope.noarch            0.185-1.el8                             @System         
elfutils-libelf.x86_64                        0.185-1.el8                             @System         
elfutils-libs.x86_64                          0.185-1.el8                             @System         
emacs-filesystem.noarch                       1:26.1-7.el8                            @ubi-8-baseos   
environment-modules.x86_64                    4.5.2-1.el8                             @ubi-8-baseos   
expat.x86_64                                  2.2.5-4.el8                             @System         
fftw.x86_64                                   3.3.5-11.el8                            @ubi-8-appstream
fftw-libs-double.x86_64                       3.3.5-11.el8                            @ubi-8-appstream
fftw-libs-long.x86_64                         3.3.5-11.el8                            @ubi-8-appstream
fftw-libs-quad.x86_64                         3.3.5-11.el8                            @ubi-8-appstream
fftw-libs-single.x86_64                       3.3.5-11.el8                            @ubi-8-appstream
file-libs.x86_64                              5.33-20.el8                             @System         
findutils.x86_64                              1:4.6.0-20.el8                          @System         
gawk.x86_64                                   4.2.1-2.el8                             @System         
gc.x86_64                                     7.6.4-3.el8                             @ubi-8-appstream
gcc.x86_64                                    8.5.0-4.el8_5                           @ubi-8-appstream
gcc-c++.x86_64                                8.5.0-4.el8_5                           @ubi-8-appstream
gcc-gdb-plugin.x86_64                         8.5.0-4.el8_5                           @ubi-8-appstream
gcc-gfortran.x86_64                           8.5.0-4.el8_5                           @ubi-8-appstream
gdb.x86_64                                    8.2-16.el8                              @ubi-8-appstream
gdb-gdbserver.x86_64                          8.2-16.el8                              @System         
gdb-headless.x86_64                           8.2-16.el8                              @ubi-8-appstream
gdbm.x86_64                                   1:1.18-1.el8                            @System         
gdbm-libs.x86_64                              1:1.18-1.el8                            @System         
git.x86_64                                    2.27.0-1.el8                            @ubi-8-appstream
git-core.x86_64                               2.27.0-1.el8                            @ubi-8-appstream
git-core-doc.noarch                           2.27.0-1.el8                            @ubi-8-appstream
git-lfs.x86_64                                2.11.0-2.el8                            @ubi-8-appstream
glib2.x86_64                                  2.56.4-156.el8                          @System         
glibc.x86_64                                  2.28-164.el8                            @System         
glibc-common.x86_64                           2.28-164.el8                            @System         
glibc-devel.x86_64                            2.28-164.el8                            @ubi-8-baseos   
