created by /home/dantopa//repos/github/builds/scripts-spack/reaper/header-reaper.sh at Tue Mar  8 16:12:44 UTC 2022

${SPACK_ROOT} = /home/dantopa/spacktivity/amzn-2022-dantopa-docker-spack

spack arch linux-amzn2022-haswell

uname -a:
Linux 618ecfea8bd4 5.10.76-linuxkit #1 SMP Mon Nov 8 10:21:19 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux

-- linux-amzn2022-haswell / gcc@11.2.1 --------------------------
zm3bbcwribttrbtdstmzpfxlnhr6bd4v alglib@3.11.0
cki224khrpr32r3fwl7ouy3zggtfcalo alsa-lib@1.2.3.2
pl6bonsgvwypu26zr3u7eldp5hhjxgbo arpack-ng@3.8.0
safpdq5zvklwdswdsutvrmnpql4wrj7l arpack-ng@3.8.0
tqs4u2zw4jpjsp6542wfa7bbewuu2t4m autoconf@2.69
jdw2rufh6ejddqt7zd7edaz5mttdr7cw autoconf-archive@2019.01.06
m7xgmxxg6ab7eba2ltqssk2ee2dqsbwq automake@1.16.5
e724kmbqz544kygv6u6bj7wgpiupd2fr bdftopcf@1.0.5
yuzhyyneyngo5s6w7na6apvkhzcbbglg berkeley-db@18.1.40
gfsoxl7qgdrr2mwocdodsnqplxsujiul binutils@2.38
edbdeirz7vxaaverasbooipl2clil6u6 binutils@2.38
f6oucdu63uh66qzpu67rzptn2ia2macg bison@3.8.2
udzzmyrlzhoeqmzuplowxujwvzeouokb blaspp@2021.04.01
mphb3zl4v7kk576z625k35cdr3ci2437 blitz@1.0.2
vywiyeokwmuqjh2vfqqhaeyipgwkk4sc boost@1.78.0
fgjpapgeefwcehzsw6eieli3enu7k7k2 butterflypack@2.1.1
jrscs3zxpla2mp5vknsp5ekuy4d6yztc bzip2@1.0.8
kzpjt5mzzxu6qry6hbikm53cdkbmg4w2 cairo@1.16.0
vwxlqkbg4jklatb4b34gblzgifha6ryc cfitsio@3.49
oxolecl7t2sn5p56zu6a436ebxlblost chapel@1.24.1
yqb3ebi36hqc5rrhmn246p66nhxpkn6q charmpp@7.0.0
fwcn4bgwpwps4hori5tissvbau6v4fkk cmake@3.22.2
fc4p2pafaijfwyiehiicgqtyh6ckoxtv curl@7.78.0
yz7yoibxr2ajlfgef75wign3duazxkos curl@7.81.0
idzwwzzvx7kfiy6ox53qy5qoiita6yp7 diffutils@3.8
azye3sy5p7qvgna7uhnf6w23xcl5yneb doxygen@1.9.3
k5ceajbw7vfgaq3hdscnobdh33hpvlmz dsfmt@2.2.5
jqwhz2tfr2jhxd4gqymnf6oz5mvgvotn elfutils@0.186
cy3ipawkvtpl3d7j4yswkqzmmwtnh73y environment-modules@5.0.1
mgftbsko7smrz65dvnsdi3hbl6wlrjrv erfa@1.7.0
anykdh2sx36vqbxczi7kj4n7yu6fbxzq expat@2.4.6
n7ryi3tlp2wumtgegku7ezpbhulvrl2u ffmpeg@4.4.1
twx4tadlmhyhrhruyhvvpprk66udmrq3 fftw@3.3.10
5vzejdxwzwdnuo32rui5vwtg6ucvlxpt findutils@4.8.0
ae7rmbxiin465l2w4zr3cvs3foxei3c6 flex@2.6.3
6pglhrdhkwzx5mxuc6k4dopz4iu2nar2 font-util@1.3.2
muj2mxmser4lc6dv4ynjfpclxnwci5wo fontconfig@2.13.94
kmni5btfxtr463akyfuiyngtp7lhoiko fontsproto@2.1.3
uo6lgrszfrya4rbqcm3iuhvv4gclndf4 freetype@2.11.1
zv7pvyopr3ewzgde33zvbpegh7g3vb2e fribidi@1.0.5
cd5g4oib6karexrwvz5khzbendu4m6eu gcc@8.5.0
biddic7dn3qytdhc7wspt4wabtpxkpuu gcc@9.4.0
aezcciauvkl5rbro7ihqtompobolbphs gcc@10.3.0
2lsi3ruxoj7gamoymbh5e6bcpa3nlgfv gcc@11.2.0
6ugpo226vteekr5iwpspsyopfu72udfk gdb@11.1
iex4xs2y723mnke7kxyyvidfp7ttycun gdbm@1.19
3obb7tcdb3dhjfxmyvd7cfn4cumycb7y gettext@0.21
ax64wbm3oybrdvn7ghar2u44264ughfg glib@2.70.4
i7yernyucvub2da4dpepsof5twtlhz2w gmake@4.3
zthgik6rdlsgeb5qr5fwstztia74pouw gmp@6.2.1
2guagdlkm564gs7voguqi3zsbzp6mr2l gnuplot@5.4.2
bcircmath2fis5hxyocs5hbeiue4vasc gobject-introspection@1.56.1
vwxwa5k5ncmbwzeoeuglyb6lirb2qi4m gperf@3.1
5p7ml5irp7abu3npoafx5td7cfplp5uz gsl@2.7
eax5forgvekwzrawexzzwqf5beiq6jor h5bench@1.1
s4r6own25bx67jx5q5eor3rp7tsrv4mu h5cpp@1.10.4-6
4kr2jmt4ifxg6xzyklxbkj2vtzydbifd h5hut@2.0.0rc3
3twcnjphbbvibepe3gfnth5c2nktnuiq harfbuzz@2.9.1
7owaw53zn45wukj35etjkfpgea2kg7p5 hdf5@1.8.12
7vxlnt5ychhodsgqhnelzxzfqc4zgw3w hdf5@1.12.1
h2ofn4xmnzu2pum5bfbg3rhcna7lryzb hdf5@1.12.1
ryuwak4ftkv7pzbvspbifj6tn3w5dijf hwloc@2.7.0
uy462maq2okfnobfl567wxkrt45hdte5 hwloc@2.7.0
nnohzycydur3ifzwlysbef37j4axmmtz hypre@2.24.0
xcnao25tza7dqmy423z2rztkijecb52a hypre@2.24.0
bzpav5t6drn4fg4lla5ngs5ywjwxb2ie icu4c@67.1
pegre45ocgivwjtfhp4devxt7pmjoblu inputproto@2.3.2
coqn2cwkprtuco6ebdvioitv2j3oushy kbproto@1.0.7
iabfsap6f3dn37tlfr72rjyjkixpl5zn lapackpp@2021.04.00
