created by /home/dantopa//repos/github/builds/scripts-spack/reaper/header-reaper.sh at Wed Apr 20 09:10:43 MDT 2022

${SPACK_ROOT} = /home/dantopa/spacktivity/mageia-8-dantopa-docker-spack

spack arch linux-mageia8-ivybridge

uname -a:
Linux f08bd859e2eb 5.10.104-linuxkit #1 SMP Wed Mar 9 19:05:23 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux

-- linux-mageia8-ivybridge / gcc@10.3.0 -------------------------
o3s7rnarvn5ul7bnp6hhs3nfoygprdyw autoconf@2.69
ertrddc5ohum2b43y3yexm3msevw33lj autoconf-archive@2019.01.06
ptajomb2fzewts2snq4s7po7dzjyfswx automake@1.16.5
myijfxv56awv7v3mkscdjo2q7khi2e3h berkeley-db@18.1.40
inyyuk3pmpfevlbfrd35iv6b22wquhib bzip2@1.0.8
y3fbf7bv2cxten2ctahojjjh3wajup4l diffutils@3.8
6tpqagwq2ascmesuq2dacum26mn3pth5 gawk@5.1.1
qwraipz5wnaqxngnj3toxpn3qjyiv6aa gcc@11.2.0
5x6qau5tifz2tbi56oueba6inw76snlc gdbm@1.19
jhtnftm63qg6q33o45y2jxvzjodfonit gettext@0.21
vygfwumhajcs7ilayjxtklwwzkp7orqn gmp@6.2.1
tp4czdkfxr2o7fwsepcilhvavo7h2zie libiconv@1.16
7wsneppf7kkf6bbdrl7vimuu5j5jhsek libsigsegv@2.13
ccbhz46grivcz7rchph7ol6jbvubsqx2 libtool@2.4.7
uzw7k5nmbnbtwholfkausyr54f6kdtwr libxml2@2.9.12
priyejjcp7bwutmbvgi4pqhqiidzcjvq m4@1.4.19
vzu5hwmiil55g6jbs2no5fypfgfhbibd mpc@1.2.1
qcahhptj3i3vkzdppvlpnr74hvmzrmlo mpfr@4.1.0
f5ytv63qpzgxr4v2gk4jw6we6jdmmeyf ncurses@6.2
5q5q4tpcyvufizq7nqqexqariku3gwbr perl@5.34.1
rnittoqrocoae65n3dhrenbicti67fcf pkgconf@1.8.0
oevbvlf6hdczpt4ky7htq7hbbrphapvf readline@8.1
