created by /home/dantopa//repos/github/builds/scripts-spack/reaper/header-reaper.sh at Thu Mar 24 12:18:12 MDT 2022

${SPACK_ROOT} = /home/dantopa/spacktivity/centos-7.9.2009-dantopa-docker-spack

spack arch linux-centos7-ivybridge

uname -a:
Linux 697a567ba23a 5.10.104-linuxkit #1 SMP Wed Mar 9 19:05:23 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux

-- linux-centos7-ivybridge / gcc@4.8.5 --------------------------
m2pbjzbyf7kxqgay2dfa6ryt6krw32zb alsa-lib@1.2.3.2
pcezn6zvrha773pk57pdabnyljdpeyyt autoconf@2.69
kqpolziq7yf3arbyxjgbov3hqcths5ry autoconf-archive@2019.01.06
w52hjlavuli7qmqvewl5nehqgijkw3fm automake@1.16.5
irgac5vxgsaegmxkpuxp2nrwpx6an27r berkeley-db@18.1.40
r7amhhalbz6szr4pud7x2nsn3zrdedj2 binutils@2.38
f26mhvypidpopijivj5pojf4yjlv2z7d bison@3.8.2
kiplpttgkuczaboy3kzutdj5ey7tibkc boost@1.78.0
75vhtnjj7aaouppb6sjan2df6pakftav bzip2@1.0.8
mk5s7dlw62tmb6bmg3nhvlodzgcgjccb cairo@1.16.0
vps4ipu3bhdx4akybdnywpmwsw7egbay cfitsio@3.49
nl2qc6hbq626m6gyfsin7mop3sjxbvp7 cmake@3.22.3
l7ek3scpofu6c466esm7uqmhnqsfqkgx curl@7.81.0
hyndnqweup6ucm6win37hxqhigppqgjr diffutils@3.8
ynwptawdjmzsr2j4cexdny3eqfdarmdu elfutils@0.186
las3mckxf36ni4jxpsnd4trmtwiufd6m erfa@1.7.0
qxlgpjjt7jagsrrotkvj2qbvtn5twny6 expat@2.4.6
5wpkwsttjqszfcwkgqsl54kzylxq4kws ffmpeg@4.4.1
npnam4sygns77yzuextkzukmwa4wei64 findutils@4.8.0
clne4unz7p5s7xvwxeots4ogxpdciukm flex@2.6.3
mrqbsjctllci47jip6gisupzbvcvqfsv freetype@2.11.1
6e66qctfqtaj46ulgmxzgxcw2566kjhm gcc@11.2.0
zczlaluew2b43vvls6hvoyr2p5gihdg2 gdb@11.1
ludhwz6xhpt2n22rx4z5eawkdgm6gtq3 gdbm@1.19
dw2onmta37g326f4ntq7hotxavt4n2ds gettext@0.21
altj52h4gwk6j2ympdx2tzruywxe2sdp glib@2.70.4
6xkp6zube2zrje2mqvxmqni4fwhitvjh gmake@4.3
3b6atfmgeft2hmuewt66os6fbndutfez gmp@6.2.1
jffutuszjhdtn5mt3irqslrxlguoidq2 hdf5@1.12.1
ssf3llwfwmdth3ulqrj25z2kzcvircuj hwloc@2.7.0
774z4unyihvtoursxnfshg3lyuvuqwzm hwloc@2.7.0
qxa6l4ydevtghamcnnprredsdjeab45i libbsd@0.11.5
dqew4bdjo5xlq7pw2dwhkji73r5t7ywh libdwarf@20180129
l3bot6gjkancx2uc4oglexik62mmnhhh libedit@3.1-20210216
y4t66fpljjmsj2jamjhiyfrqdcvw67fc libevent@2.1.12
4qujnudb4vwdxxa6p6uv25zwxl5fqi7g libffi@3.4.2
x22e5rhqdeqtfydsg6glfuyo226mizr4 libiconv@1.16
7emw7xdqsqzmnyosuzommacysstwscik libjpeg-turbo@2.1.0
p3hf7gwa5555q4kqsxeykyjrgnpc3trl libmd@1.0.4
hpoiatwjmnw6temcz7ghknmczz6pxu72 libpciaccess@0.16
bjioqfetjmcqc5zmhmtlraba4rs77b2a libpng@1.6.37
a3xsfoy5yg7pzj3g65bfz4vkctnbwqkf libsigsegv@2.13
nmspea6pzomsac7oot5b7pcgch4txlaf libtool@2.4.6
lrefdssk4zcpmajhxzqkzich4uhvsibl libunwind@1.5.0
c2tqvkxpn4rhxfdo6ecpgvlotkkeh3we libxml2@2.9.12
od2ryq4633z5fotjg5nnvmbeb43ijicb libyaml@0.2.5
ed3bedsybaqkuppfzkyykvjfi4etdgfs m4@1.4.19
dfn2xig4acof6vennwhyrunch32azmmj meson@0.61.2
rd5th74ffmvovycklognft55pjt2b7r4 mpc@1.2.1
d5kkywx3yjducahh6tnfwyag4ol4b2yo mpfr@4.1.0
mhruut7jtqsqtzn7keoywudrj6vjjqsg nasm@2.15.05
f7xrppj4l6cvkmdyx5wmuiidj4tjemnj ncurses@6.2
a56eiot4hucsufz27cuymt3sbtrhxjur ninja@1.10.2
kbqcdpsavkyfbpibmws533u4r5wtk5gz numactl@2.0.14
2rqkpumprxybnorofuy3bdrlteflkvyc openblas@0.3.20
3pbnf7xv7gcxc54fizynlqybfliezjfq openjdk@11.0.14.1_1
r3j7bi4wd667627euz2bjteha5mdvebt openmpi@4.1.2
3ovbw4ccyhbcbf4qlvc35bdukcqldnrs openmpi@4.1.2
a2nnp4s5ppncresrjknrwpnhdgmrkyug openssh@8.9p1
l2fmrngv7gorcbc5x4wcc57kmm6mou52 openssl@1.1.1n
gg6udoqw2dqnvnstvxlzucxcawa5ldw7 otf2@2.3
h23y5gvljq35sl23g6pyr6dhwtzifmkj papi@6.0.0.1
6pvlvfunxgvsbe3tplvx2jjbmnxksnem pcre@8.45
jzw5it4iri7gznkfkvcuygn5kohxowjb pdt@3.25.1
bogxwydl4nryigshswqgn2j5ufa736iv perl@5.34.0
q2sgbmbrdrplki23zvq6fbhq6zzpif7c pixman@0.40.0
xjpc5esdhyysuh7qf4oxyfukqygxkndc pkgconf@1.8.0
rutlid2gk6kb2djihq3ixp3rxeih7ci7 py-attrs@21.4.0
muedf3amoaylzpdf2hj4fhvmfa4cpk5v py-backports-entry-points-selectable@1.1.1
dkhc4rlg66opf43kf7ny5sqdb7deru4x py-beautifulsoup4@4.10.0
lhe5j3k5d6xht5kq4q4hrvoxru74rmlb py-beniget@0.4.1
pzgch5omr75ffxoponjzsrm37u7shni7 py-bintrees@2.0.7
powipwpabyeafzdhc336tmrmudambsvy py-bleach@4.1.0
aj7co4vehzuvs4jcqiibr3cayjlrm56j py-certifi@2021.10.8
2ydh6lsjc7zagw4m3252ledtx3seftw7 py-cppy@1.1.0
3fjytzmxj7ykyi6s6zbjmwk6d4paou7d py-cycler@0.11.0
kx3ziajwlyrc5pkwaleizhomcr4tttfz py-cython@0.29.24
if25lviizskqqhel6nvzxkceucbs5u5m py-distlib@0.3.4
br7m4zckjzgkyihzwexokvcdaqihwh4q py-filelock@3.5.0
d7y5w7ym4pu5mdijnzjz64534scjaang py-fonttools@4.29.1
kn7n2e3tx53sqiprizb2voihgt6pt7yu py-gast@0.5.3
vlpwy5sfc2aqvz7jlnsqguglzbwyqilv py-html5lib@1.1
2cjsjrlvtcpixi56ipf5hehpnl63stnq py-iniconfig@1.1.1
smyjohrcizrljcid3oq2jlddirpo5dyt py-jsonschema@3.2.0
zwjsnzmzjf3fdmodbyqrdzxpxkqirmk6 py-kiwisolver@1.3.2
avmj2fjx3pwpuzpzmvz3xmbv3b4ymmax py-mpi4py@3.1.2
zwfta4xt2ez73wjxjaz53hbtxoyemwaf py-mpmath@1.2.1
jqhf3a3rm2xvtb7exiib5rmsccs7fd4w py-networkx@2.6.3
ldy64mmc5jozuqfrl5pdyl7wb2lakils py-packaging@21.3
e3yhurxeboxo7a4hdlud7zdccs6ihju6 py-pillow@9.0.0
rkoy2tfnsthh5mctii3zoqgdn5zvelas py-pip@21.3.1
xj2mbdfibyln3ut4zpstqfaeyg2fv6r6 py-pkgconfig@1.5.5
2lo5r5pqnyd7jnpvk5nqnltniekprf6q py-platformdirs@2.4.0
e23f5yukwn33ndfbjnoqcjhx2un6m3ne py-pluggy@1.0.0
salcummjkbvc6xux223ow4dwo6yr7lmd py-ply@3.11
hnukmk63tmjtq7wtfvsooxjfk3oc44m2 py-poetry-core@1.0.7
z7thix6bo5qmtt43vainek4jy6r777ab py-py@1.11.0
m3qdgxl7p4xrm5kgsjwljx4n4wytm2cp py-pybind11@2.8.1
fryhftt7r6njauct5b5bt5t5wvg3agbm py-pyparsing@3.0.6
odmouoij6uiqzjsyqh4lz3hocjon5xla py-pyrsistent@0.18.0
xhdtjgra2h2spyhqcxddhbizs2k4bie6 py-pytest@6.2.5
vkirqzcbiqip5r7kxe6fpta4zksdxxy2 py-python-dateutil@2.8.2
d3y5pmv23sbn3vl4iinbek4v7dyhm2ww py-pytz@2021.3
emrrieofemh46wy23j36kleufszgmeu4 py-pyyaml@6.0
65lajysdtc2owyqsh6bnxdj4w5pj25jj py-semantic-version@2.6.0
rm6jzfocfgmqvfulflr76e5f4perubzx py-setuptools@59.4.0
y5rolyug4iqig6o3b35mhmqk3bv5nwui py-setuptools-scm@6.3.2
ycufzcvayv56x7xbjboll7adjkfnzytc py-setuptools-scm-git-archive@1.1
xaoftiswyrs7fmudekigoc6aq4iuxqt4 py-six@1.16.0
rqaxkkuskwagjl6vx5hj5pa5wlhxlwih py-sortedcontainers@2.1.0
ppqiobflkegwfkegvg3oukmjxz54dl52 py-soupsieve@2.2.1
w7xpdtrm4itbygafigdp5ytfybavhlbz py-toml@0.10.2
fjuhxvg64up4pqifi4v254sjq2iq6p76 py-tomli@1.2.2
yal4y6yjuaz4l7ifylegvng4drvxcti3 py-tqdm@4.62.3
4edg3ppd6d2y5kahkm7nry4iv7hoz756 py-urllib3@1.26.6
xmmvvrqmaqxxezruxk24r6egmlmdo6m2 py-virtualenv@20.10.0
qb4twem46rhot7jgtgqy35vzstmyyuvu py-webencodings@0.5.1
cdyct3ht56itim25txlm73xszvbqa7dd py-wheel@0.37.0
mp7coozn3oyhra4knxhymwoepaql3n6r python@3.10.2
3x5ifn5ugn6n2prnbqb7nkxgenpyzxfx python@3.10.2
vjwtp4apr37dcz7db4ahcyehhpgiz7gj qhull@2020.2
vmopjttsuarrrqut7j3keybbks7d4p7c readline@8.1
zqieeavv4zevlla2rqhdarufntj2omqh sqlite@3.37.2
wn6svcepuz5ephudobiaimnww66sdwo6 tar@1.34
ojle6forchf4ceu63ctvxmm3nx3kyba5 tau@2.31
racwgbeqahugd7cxfz5exaiyt5olaen7 texinfo@6.5
5wxlnaqove6264apiwldikmzjnibuk5a util-linux-uuid@2.36.2
rbbxhduqnijffyy5bp2joklxexkyiwku util-macros@1.19.3
6mf4wr77gjeee7z7krogovcqkxq2op2e valgrind@3.18.1
ck65dj7eu6oqujyue6swny7z2vpgyncq wcslib@7.3
s6266oyyj4pgsefc4jfgpsczzfg65q6w xz@5.2.5
pddya2kgkg3gglachhn7g6nbnimzzs4m yasm@1.3.0
